barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,_id,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,1,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,2,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,3,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,4,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,5,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,6,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,7,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,8,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,9,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,10,null,1,null,null,null,null,5ff1e1b60a7214ada100055c,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870,77,null,null,null,null,null,null
75925306254,null,1,1,null,1,null,1,null,null,null,null,5f9c74f70a7214ad07000037,null,null,null,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null
null,null,null,null,TRUE,2,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,3,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,4,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,5,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,6,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,7,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,8,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,9,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,10,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,11,TRUE,null,34100573065,TRUE,29,1,5f9c74f70a7214ad07000037,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1b20a7214ada100055a,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,1,TRUE,null,4011,TRUE,25,3,5ff1e1e90a7214ada1000569,USER_FLAGGED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,2,TRUE,null,34100573065,TRUE,27,3,5ff1e1e90a7214ada1000569,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,FALSE,1,null,1,null,null,null,null,5ff1e1df0a7214ada1000564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10,10,FALSE,2,TRUE,1,28400642255,TRUE,10,1,5ff1e1df0a7214ada1000564,null,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,null,null,null,null,null,null,null,null,null,null,800,null,null,null,null,null,null
75925306254,null,1,1,null,1,null,1,null,null,null,null,5ff1e1b40a7214ada100055b,null,null,null,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,null,null,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null
null,null,null,null,TRUE,2,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,3,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,4,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,5,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,6,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,7,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,8,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,9,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,10,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,TRUE,11,TRUE,null,34100573065,TRUE,29,1,5ff1e1b40a7214ada100055b,USER_FLAGGED,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,26,26,FALSE,1,TRUE,2,4011,TRUE,26,2,5ff1e1eb0a720f0523000576,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1c80a720f052300056d,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1234,null,null,null,TRUE,2,TRUE,null,1234,TRUE,null,null,5ff1e1c80a720f052300056d,USER_FLAGGED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
75925306254,null,1,1,FALSE,1,null,1,null,null,null,null,5f9c74f90a7214ad07000038,null,null,null,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,null,null,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null
75925306254,null,10,10,FALSE,2,TRUE,2,75925306254,TRUE,10,2,5f9c74f90a7214ad07000038,null,null,null,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,null,75925306254,null,null,null,null,null,null,2,null,null,TRUE,10,10,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,1,1,FALSE,3,TRUE,1,34100573065,TRUE,1,1,5f9c74f90a7214ad07000038,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,34100573065,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,1,30,77,null,1,1,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,1,1,FALSE,4,TRUE,1,34100573065,TRUE,1,1,5f9c74f90a7214ad07000038,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,34100573065,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,1,30,77,null,1,1,null,null,null
34100573065,MILLER LITE 24 PACK 12OZ CAN,1,1,FALSE,5,TRUE,1,34100573065,TRUE,1,1,5f9c74f90a7214ad07000038,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,30,77,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1960a720f0523000567,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,21,21,FALSE,1,TRUE,2,4011,TRUE,21,2,5ff1e1ec0a7214ada100056c,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,null,1,null,1,null,null,null,null,5ff1e1d70a720f0523000571,null,null,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,null,null,null,null,null,null,null,null,null,10,800,null,null,null,null,null,null
2.70072E+12,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,1,null,2,null,1,null,null,null,null,5ff1e1d70a720f0523000571,null,null,5332f5f6e4b03c9a25efd0b4,NEXXUS HAIR CARE,5332f5f6e4b03c9a25efd0b4,null,null,null,null,null,null,null,null,null,10,800,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1c60a7214ada100055e,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1234,null,null,null,TRUE,2,TRUE,null,1234,TRUE,null,null,5ff1e1c60a7214ada100055e,USER_FLAGGED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,27,27,FALSE,1,TRUE,5,4011,TRUE,27,5,5ff1e1ee0a7214ada1000570,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1cf0a720f0523000570,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1234,null,null,null,TRUE,2,TRUE,null,1234,TRUE,null,null,5ff1e1cf0a720f0523000570,USER_FLAGGED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
79400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,FALSE,1,TRUE,1,79400066619,null,null,null,5ff1e1e10a720f0523000572,null,null,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,null,80878042197,null,null,null,null,null,null,null,10,800,TRUE,null,null,null,null,null
null,DELETED ITEM,1,1,null,1,null,1,null,null,null,null,5ff1e1d40a7214ada1000562,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,null,null
51500720011,JIF CRMY PNT BTR JAR 40 OZ,2,2,null,2,null,2,null,null,null,null,5ff1e1d40a7214ada1000562,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,27,27,FALSE,1,TRUE,4,4011,TRUE,27,4,5ff1e1ee0a720f0523000578,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,1,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,2,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,3,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,4,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,5,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,6,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,7,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,8,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,9,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,10,null,1,null,null,null,null,5ff371030a7214ada10005a5,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
71040063102,null,0.99,0.99,null,1,null,1,null,null,null,null,5ff36dcc0a720f05230005b1,null,null,null,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,null,null,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,1,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,2,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,3,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,4,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,5,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,6,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,7,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,8,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,9,null,1,null,null,null,null,5ff36c750a7214ada100058f,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
41129002292,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,1,null,1,null,1,null,null,null,null,5ff36d860a720f05230005a7,null,null,559c2234e4b06aca36af13c6,CLASSICO PESTO,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
43000946060,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,1,null,1,null,1,null,null,null,null,5ff36d9f0a720f05230005ab,null,null,559c2234e4b06aca36af13c6,KOOL-AID BURSTS DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5,800,null,null,null,null,null,null
44700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,null,1,null,1,null,null,null,null,5ff36adb0a720f0523000590,null,null,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50,800,null,null,null,null,null,null
