bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,createDate1,dateScanned1,finishedDate1,modifyDate1,pointsAwardedDate1,purchaseDate1,id_oid
5,All-receipts receipt bonus,5,4,FINISHED,27,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1ee0a720f0523000578
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650,10,FINISHED,10,5ff370c562fde912123a5e0e,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,20-12-2020 00:00,5ff371030a7214ada10005a5
5,All-receipts receipt bonus,55,1,FINISHED,0.99,5ff36d0362fde912123a5535,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,5ff36dcc0a720f05230005b1
0,null,500,9,FINISHED,89.91,5ff36be7135e7011bcb856d3,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,03-01-2021 19:28,5ff36c750a7214ada100058f
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,54943462e4b07e684157a532,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,03-01-2021 19:33,5ff36d860a720f05230005a7
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,5ff36d0362fde912123a5535,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,19-12-2020 19:33,5ff36d9f0a720f05230005ab
0,null,250,5,FINISHED,49.95,5ff36a3862fde912123a4460,04-01-2021 19:22,04-01-2021 19:22,04-01-2021 19:22,04-01-2021 19:22,04-01-2021 19:22,30-12-2020 06:00,5ff36adb0a720f0523000590
5,All-receipts receipt bonus,5,1,FINISHED,1,5ff36d0362fde912123a5535,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,03-01-2021 19:33,5ff36da00a7214ada100059b
5,All-receipts receipt bonus,355,9,FINISHED,89.91,5ff36d0362fde912123a5535,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,03-01-2021 19:34,5ff36dc40a7214ada100059f
100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600,9,FINISHED,89.91,5ff370c562fde912123a5e0e,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,03-01-2021 19:48,5ff3710b0a7214ada10005a7
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1750,1,FINISHED,10,5ff36d78135e7011bcb86488,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,5ff36d780a7214ada1000593
45,COMPLETE_PARTNER_RECEIPT,350,1,FINISHED,1,5ff370c562fde912123a5e0e,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,03-01-2021 19:49,5ff371410a7214ada10005ba
5,All-receipts receipt bonus,5,1,FINISHED,1,54943462e4b07e684157a532,04-01-2021 19:29,04-01-2021 19:29,04-01-2021 19:29,04-01-2021 19:29,04-01-2021 19:29,03-01-2021 19:29,5ff36c8b0a720f05230005a1
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,5,FINISHED,25,5ff36be7135e7011bcb856d3,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,01-01-2021 06:00,5ff36c550a7214ada1000588
5,All-receipts receipt bonus,55,9,FINISHED,89.91,5ff36a3862fde912123a4460,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,03-01-2021 19:21,5ff36acb0a720f052300058d
5,All-receipts receipt bonus,5,5,FINISHED,49.95,5ff370c562fde912123a5e0e,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,24-12-2020 06:00,5ff371450a7214ada10005bd
100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",225,5,FINISHED,25,5ff36d0362fde912123a5535,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,04-01-2021 19:33,01-01-2021 06:00,5ff36d9d0a720f05230005aa
150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",275,5,FINISHED,25,5ff36be7135e7011bcb856d3,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,30-12-2020 06:00,5ff36c590a7214ada1000589
25,COMPLETE_NONPARTNER_RECEIPT,25,1,FINISHED,1,5964eb07e4b03efd0c0f267b,04-01-2021 04:38,04-01-2021 04:38,04-01-2021 04:39,04-01-2021 04:39,04-01-2021 04:39,03-01-2021 00:00,5ff29be20a7214ada1000571
25,COMPLETE_NONPARTNER_RECEIPT,25,1,FINISHED,28.57,5c3388caea88e15513a95069,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 00:00,5ff3416f0a7214ada1000576
5,All-receipts receipt bonus,5,4,FINISHED,18.2,5ff36be7135e7011bcb856d3,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,03-01-2021 19:28,5ff36c6d0a720f0523000597
100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100,1,FINISHED,1,5ff36a3862fde912123a4460,04-01-2021 19:20,04-01-2021 19:20,04-01-2021 19:20,04-01-2021 19:20,04-01-2021 19:20,19-12-2020 19:20,5ff36a830a7214ada100057b
250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250,1,FINISHED,10,5ff36be7135e7011bcb856d3,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,04-01-2021 19:28,03-01-2021 19:28,5ff36c570a720f0523000593
0,null,350,1,FINISHED,10,5ff370c562fde912123a5e0e,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,04-01-2021 19:49,03-01-2021 19:49,5ff3713c0a7214ada10005b6
45,COMPLETE_PARTNER_RECEIPT,100,1,FINISHED,0.99,5ff370c562fde912123a5e0e,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,5ff371130a7214ada10005aa
500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,5,FINISHED,49.95,5ff370c562fde912123a5e0e,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,21-12-2020 00:00,5ff370f00a7214ada10005a3
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",755,1,FINISHED,1,5ff37124135e7011bcb86bc3,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,04-01-2021 19:48,03-01-2021 19:48,5ff371240a7214ada10005b3
5,All-receipts receipt bonus,5,1,FINISHED,1,54943462e4b07e684157a532,04-01-2021 19:29,04-01-2021 19:29,04-01-2021 19:29,04-01-2021 19:29,04-01-2021 19:29,03-01-2021 19:29,5ff36c8d0a7214ada1000591
5,All-receipts receipt bonus,55,1,FINISHED,0.99,5ff36a3862fde912123a4460,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,04-01-2021 19:21,5ff36ad40a7214ada1000585
5,All-receipts receipt bonus,5,1,FINISHED,9.99,5ff36d0362fde912123a5535,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,04-01-2021 19:34,03-01-2021 19:34,5ff36dcb0a7214ada10005a0
25,COMPLETE_NONPARTNER_RECEIPT,25,1,FINISHED,28.57,5c3388caea88e15513a95069,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 16:25,04-01-2021 00:00,5ff3416d0a7214ada1000575
5,All-receipts receipt bonus,5,4,FINISHED,25,5ff4ce3dc3d63511e2a484dc,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 00:00,5ff4ce430a7214ada10005d8
150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,5,FINISHED,27,5ff4ce3dc3d63511e2a484dc,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 00:00,5ff4ce400a7214ada10005d5
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,REJECTED,34.96,5fbc35711d967d1222cbfefc,05-01-2021 17:41,05-01-2021 17:41,null,05-01-2021 17:41,null,13-09-2020 00:00,5ff4a4ca0a7214ada10005d0
5,All-receipts receipt bonus,5,1,FINISHED,1,54943462e4b07e684157a532,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,23-12-2020 14:12,5ff473de0a720f05230005bd
25,COMPLETE_NONPARTNER_RECEIPT,35,1,FINISHED,1,5ff4ce33c3d63511e2a484b6,05-01-2021 20:39,05-01-2021 20:39,05-01-2021 20:39,05-01-2021 20:39,05-01-2021 20:39,04-01-2021 20:39,5ff4ce8c0a7214ada10005e6
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,FINISHED,29,5ff4ce3dc3d63511e2a484dc,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 00:00,5ff4ce3d0a7214ada10005d3
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,04-01-2021 14:12,5ff473b40a7214ada10005c5
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1800,1,FINISHED,10,5ff473f3c1e2d0121a9b2707,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,5ff473f30a720f05230005c0
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,FINISHED,21,5ff4ce3ac1e2d0121a9b2fb3,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 00:00,5ff4ce3a0a7214ada10005d2
150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",275,5,FINISHED,25,5ff47392c3d63511e2a47881,05-01-2021 14:11,05-01-2021 14:11,05-01-2021 14:11,05-01-2021 14:11,05-01-2021 14:11,31-12-2020 06:00,5ff473a90a7214ada10005c2
0,null,250,5,FINISHED,49.95,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,02-01-2021 06:00,5ff473b10a7214ada10005c4
0,null,0,null,SUBMITTED,null,5a43c08fe4b014fd6b6a0612,05-01-2021 14:19,05-01-2021 14:19,null,05-01-2021 14:19,null,null,5ff475820a7214ada10005cf
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,2,FINISHED,1,5ff4ce33c3d63511e2a484b6,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,04-01-2021 20:38,5ff4ce550a7214ada10005db
5,All-receipts receipt bonus,5,1,FINISHED,29,5ff4ce3dc3d63511e2a484dc,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 00:00,5ff4ce430a720f05230005c9
5,All-receipts receipt bonus,5,1,FINISHED,9.99,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,5ff473d40a7214ada10005c9
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",810,5,FLAGGED,13,5ff4ce68c1e2d0121a9b3022,05-01-2021 20:39,05-01-2021 20:39,null,05-01-2021 20:39,05-01-2021 20:39,04-01-2021 20:39,5ff4ce690a7214ada10005e2
0,null,250,5,FINISHED,49.95,5ff47392c3d63511e2a47881,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,05-01-2021 14:13,31-12-2020 06:00,5ff473f60a7214ada10005ce
5,All-receipts receipt bonus,305,1,FINISHED,9.99,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,04-01-2021 14:12,5ff473cf0a7214ada10005c8
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",9449.8,11,FINISHED,291,5fa5ad376a26f611e71ab5ef,06-11-2020 20:08,06-11-2020 20:08,05-01-2021 20:53,05-01-2021 20:53,05-01-2021 20:53,05-11-2020 20:08,5fa5ad370a720f05ef000089
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FLAGGED,1,5ff4ce65c3d63511e2a4853b,05-01-2021 20:39,05-01-2021 20:39,null,05-01-2021 20:39,05-01-2021 20:39,04-01-2021 20:39,5ff4ce650a7214ada10005e1
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,54943462e4b07e684157a532,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,04-01-2021 14:12,5ff473e40a7214ada10005cc
0,null,0,0,FLAGGED,0,5ff4ce3cc1e2d0121a9b2fba,05-01-2021 20:38,05-01-2021 20:38,null,05-01-2021 20:38,null,null,5ff4ce3c0a720f05230005c4
5,All-receipts receipt bonus,55,1,FINISHED,0.99,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,5ff473d00a720f05230005bb
5,All-receipts receipt bonus,5,5,FINISHED,49.95,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,25-12-2020 06:00,5ff473b20a720f05230005b7
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,5ff47392c3d63511e2a47881,05-01-2021 14:11,05-01-2021 14:11,05-01-2021 14:11,05-01-2021 14:11,05-01-2021 14:11,04-01-2021 14:11,5ff473ad0a7214ada10005c3
25,COMPLETE_NONPARTNER_RECEIPT,25,1,FINISHED,1,5ff4ce33c3d63511e2a484b6,05-01-2021 20:39,05-01-2021 20:39,05-01-2021 20:39,05-01-2021 20:39,05-01-2021 20:39,05-02-2021 20:39,5ff4ce640a7214ada10005e0
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,2,FINISHED,29,5ff4ce3dc3d63511e2a484dc,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 00:00,5ff4ce3f0a720f05230005c6
500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,2,FINISHED,1,5ff4ce33c3d63511e2a484b6,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,05-01-2021 20:38,04-01-2021 20:38,5ff4ce4e0a7214ada10005da
0,null,91.2,4,FINISHED,18.2,5ff47392c3d63511e2a47881,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,05-01-2021 14:12,04-01-2021 14:12,5ff473bc0a720f05230005b8
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,FINISHED,34.96,5fbc35711d967d1222cbfefc,05-01-2021 17:55,05-01-2021 17:55,05-01-2021 17:55,05-01-2021 17:55,05-01-2021 17:55,30-12-2020 00:00,5ff4a80e0a720f05230005c2
5,All-receipts receipt bonus,5,1,FINISHED,1,5ff5d15aeb7c7d12096d91a2,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,21-12-2020 15:06,5ff5d1da0a7214ada10005f8
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",825,5,FINISHED,25,5ff5d15aeb7c7d12096d91a2,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,5ff5d1d40a7214ada10005f4
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,54943462e4b07e684157a532,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,05-01-2021 15:05,5ff5d1a00a7214ada10005ed
0,null,0,null,SUBMITTED,null,5a43c08fe4b014fd6b6a0612,06-01-2021 17:00,06-01-2021 17:00,null,06-01-2021 17:00,null,null,5ff5ecb90a7214ada10005f9
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,5ff5d15aeb7c7d12096d91a2,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,05-01-2021 15:06,5ff5d1e20a720f05230005da
5,All-receipts receipt bonus,5,5,FINISHED,49.95,5ff5d15aeb7c7d12096d91a2,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,26-12-2020 06:00,5ff5d1e10a720f05230005d9
5,All-receipts receipt bonus,55,9,FINISHED,89.91,5ff5d15aeb7c7d12096d91a2,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,05-01-2021 15:06,5ff5d1fd0a720f05230005de
100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",225,5,FINISHED,25,5ff5d15aeb7c7d12096d91a2,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,06-01-2021 15:06,03-01-2021 06:00,5ff5d1d80a7214ada10005f6
45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,54943462e4b07e684157a532,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,06-01-2021 15:05,05-01-2021 15:05,5ff5d19d0a7214ada10005ec
